# Segments csv created Sun Mar  5 10:54:31 2017,,,
# num_ytids=22160, num_segs=22160, num_unique_labels=527, num_positive_labels=52882
YTID, start_seconds, end_seconds, positive_labels
--PJHxphWEs,30000,40000,"/m/09x0r,/t/dd00088"
--ZhevVpy1s,50000,60000,/m/012xff
--aE2O5G5WE,0,10000,"/m/03fwl,/m/04rlf,/m/09x0r"
--aO5cdqSAg,30000,40000,"/t/dd00003,/t/dd00005"
--aaILOrkII,200000,210000,"/m/032s66,/m/073cg4"
--cB2ZVjpnA,30000,40000,/m/01y3hg
--ekDLDTUXA,30000,40000,"/m/015lz1,/m/07pws3f"
-0DLPzsiXXE,30000,40000,"/m/04rlf,/m/07qwdck"
-0DdlOuIFUI,50000,60000,"/m/0130jx,/m/02jz0l,/m/0838f"
-0FHUc78Gqo,30000,40000,"/m/02w4v,/m/04rlf"
-0O3e95y4gE,100000,110000,"/m/07r4wb8,/t/dd00125"
-0SdAVK79lg,30000,40000,"/m/0155w,/m/01lyv,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y,/m/0gg8l"
-0Vl4HyWRk8,410000,420000,"/m/085jw,/m/0l14l2"
-0mG4W5Hlq8,270000,280000,"/m/04rlf,/m/05fw6t,/m/07r4k75,/m/09x0r,/m/0ytgt"
-0mjrMposBM,80000,90000,/m/04zmvq
-11LhdJgBb8,30000,40000,"/m/04rlf,/m/07qn4z3"
-1LrH01Ei1w,30000,40000,"/m/02p0sh1,/m/04rlf"
-1TLtjPtnms,10000,20000,"/m/03lty,/m/04rlf,/m/07szfh9"
-1iKLvsRBbE,80000,90000,"/m/015lz1,/m/07pws3f"
-24dqQM_rDk,30000,40000,"/m/04rlf,/t/dd00003"
-275_wTLm-4,7000,17000,/m/07q6cd_
-28U1_qW0sU,30000,40000,/m/07qwdck
-2PDE7hUArE,30000,40000,"/m/02mk9,/m/07pb8fc,/t/dd00066"
-2X03mO3T_U,30000,40000,"/m/04k94,/m/0dv3j"
-2hQKCE-oTI,30000,40000,/m/07pbtc8
-30H9V1IKps,6000,16000,"/m/07yv9,/m/09x0r,/m/0gvgw0"
-38Qgsbh7NQ,100000,110000,"/m/013y1f,/m/03xq_f"
-3HYdaJyF4U,30000,40000,"/m/04rlf,/m/06rqw"
-3IGxVTJvgI,30000,40000,"/m/06bz3,/m/09x0r"
-3IYpJfLVJk,30000,40000,"/m/03k3r,/m/07q5rw0,/m/0jbk"
-3hKkjKmIGE,30000,40000,"/m/019jd,/m/06q74"
-3pPrlCm6gg,30000,40000,/m/01wy6
-4NLarMj4xU,30000,40000,"/m/04rlf,/t/dd00034"
-4RWqM0UCCY,0,10000,"/m/012n7d,/m/02mfyn,/m/03j1ly,/m/03kmc9"
-4hZyOdm7EI,200000,210000,"/m/015lz1,/m/015vgc"
-4xJv59_zcA,30000,40000,"/m/07pl1bw,/m/083vt"
-5-vmt2iKT0,30000,40000,"/m/02zsn,/m/09x0r"
-5DdYkYOjy0,30000,40000,/m/06h7j
-5GhUbDLYkQ,16000,26000,"/m/0130jx,/m/02jz0l,/m/0838f"
