YTID;start_seconds;end_seconds;positive_labels;labels;Gunshot
--PJHxphWEs;30000;40000;/m/09x0r,/t/dd00088;"Speech;Gush";False
--ZhevVpy1s;50000;60000;/m/012xff;Toothbrush;False
--aE2O5G5WE;0;10000;/m/03fwl,/m/04rlf,/m/09x0r;"Goat;Music;Speech";False
--aO5cdqSAg;30000;40000;/t/dd00003,/t/dd00005;"Male singing;Child singing";False
--aaILOrkII;200000;210000;/m/032s66,/m/073cg4;"Gunshot, gunfire;Cap gun";True
--cB2ZVjpnA;30000;40000;/m/01y3hg;Smoke detector, smoke alarm;False
--ekDLDTUXA;30000;40000;/m/015lz1,/m/07pws3f;"Singing;Bang";False
-0DLPzsiXXE;30000;40000;/m/04rlf,/m/07qwdck;"Music;Ping";False
-0DdlOuIFUI;50000;60000;/m/0130jx,/m/02jz0l,/m/0838f;"Sink (filling or washing);Water tap, faucet;Water";False
-0FHUc78Gqo;30000;40000;/m/02w4v,/m/04rlf;"Folk music;Music";False
-0O3e95y4gE;100000;110000;/m/07r4wb8,/t/dd00125;"Knock;Inside, small room";False
-0SdAVK79lg;30000;40000;/m/0155w,/m/01lyv,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y,/m/0gg8l;"Blues;Country;Guitar;Acoustic guitar;Music;Musical instrument;Strum;Plucked string instrument;Bluegrass";False
-0Vl4HyWRk8;410000;420000;/m/085jw,/m/0l14l2;"Wind instrument, woodwind instrument;Shofar";False
-0mG4W5Hlq8;270000;280000;/m/04rlf,/m/05fw6t,/m/07r4k75,/m/09x0r,/m/0ytgt;"Music;Music for children;Grunt;Speech;Child speech, kid speaking";False
-0mjrMposBM;80000;90000;/m/04zmvq;Train whistle;False
-11LhdJgBb8;30000;40000;/m/04rlf,/m/07qn4z3;"Music;Rattle";False
-1LrH01Ei1w;30000;40000;/m/02p0sh1,/m/04rlf;"Traditional music;Music";False
-1TLtjPtnms;10000;20000;/m/03lty,/m/04rlf,/m/07szfh9;"Heavy metal;Music;Cacophony";False
-1iKLvsRBbE;80000;90000;/m/015lz1,/m/07pws3f;"Singing;Bang";False
-24dqQM_rDk;30000;40000;/m/04rlf,/t/dd00003;"Music;Male singing";False
-275_wTLm-4;7000;17000;/m/07q6cd_;Squeak;False
-28U1_qW0sU;30000;40000;/m/07qwdck;Ping;False
-2PDE7hUArE;30000;40000;/m/02mk9,/m/07pb8fc,/t/dd00066;"Engine;Idling;Medium engine (mid frequency)";False
-2X03mO3T_U;30000;40000;/m/04k94,/m/0dv3j;"Liquid;Boiling";False
-2hQKCE-oTI;30000;40000;/m/07pbtc8;Walk, footsteps;False
-30H9V1IKps;6000;16000;/m/07yv9,/m/09x0r,/m/0gvgw0;"Vehicle;Speech;Air brake";False
-38Qgsbh7NQ;100000;110000;/m/013y1f,/m/03xq_f;"Organ;Electronic organ";False
-3HYdaJyF4U;30000;40000;/m/04rlf,/m/06rqw;"Music;Ska";False
-3IGxVTJvgI;30000;40000;/m/06bz3,/m/09x0r;"Radio;Speech";False
-3IYpJfLVJk;30000;40000;/m/03k3r,/m/07q5rw0,/m/0jbk;"Horse;Neigh, whinny;Animal";False
-3hKkjKmIGE;30000;40000;/m/019jd,/m/06q74;"Boat, Water vehicle;Ship";False
-3pPrlCm6gg;30000;40000;/m/01wy6;Clarinet;False
-4NLarMj4xU;30000;40000;/m/04rlf,/t/dd00034;"Music;Tender music";False
-4RWqM0UCCY;0;10000;/m/012n7d,/m/02mfyn,/m/03j1ly,/m/03kmc9;"Ambulance (siren);Car alarm;Emergency vehicle;Siren";False
-4hZyOdm7EI;200000;210000;/m/015lz1,/m/015vgc;"Singing;Carnatic music";False
-4xJv59_zcA;30000;40000;/m/07pl1bw,/m/083vt;"Splinter;Wood";False
-5-vmt2iKT0;30000;40000;/m/02zsn,/m/09x0r;"Female speech, woman speaking;Speech";False
-5DdYkYOjy0;30000;40000;/m/06h7j;Run;False
-5GhUbDLYkQ;16000;26000;/m/0130jx,/m/02jz0l,/m/0838f;"Sink (filling or washing);Water tap, faucet;Water";False
-5Jlimvsuwo;90000;100000;/m/011k_j,/m/04rlf;"Timpani;Music";False
-5Kk-m7BmiE;21000;31000;/m/07pyf11,/m/07qmpdm;"Flap;Clatter";False
-5S70zOSw30;30000;40000;/m/030rvx,/m/07pzfmf,/m/09x0r;"Buzzer;Crackle;Speech";False
-5f6hjZf9Yw;30000;40000;/m/02w4v,/m/04rlf;"Folk music;Music";False
-5xOcMJpTUk;70000;80000;/m/018vs,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y;"Bass guitar;Guitar;Acoustic guitar;Music;Musical instrument;Speech;Plucked string instrument";False
-60XojQWWoc;30000;40000;/m/02rhddq,/m/07r04,/m/07yv9;"Reversing beeps;Truck;Vehicle";False
-64xnyOswXA;120000;130000;/m/0cdnk;Roaring cats (lions, tigers);False
-693sNKI3iM;30000;40000;/m/015lz1,/m/01swy6,/m/04rlf;"Singing;Yodeling;Music";False
-6QGvxvaTkI;280000;290000;/m/01p970,/m/026t6,/m/0l14md;"Tabla;Drum;Percussion";False
-6RN8skIHU4;20000;30000;/m/09x0r,/m/0dv5r,/t/dd00125;"Speech;Camera;Inside, small room";False
-6fxJZ7CW00;30000;40000;/m/07pjjrj;Smash, crash;False
-6gC_nlUBfA;60000;70000;/m/02y_763,/m/09x0r;"Sliding door;Speech";False
-6krAYK2LLo;30000;40000;/m/04rlf,/m/06j64v,/m/0l14gg;"Music;Middle Eastern music;Soundtrack music";False
-6pcgdLfb_A;110000;120000;/m/04rlf,/t/dd00035;"Music;Exciting music";False
-6sgMgtW91g;20000;30000;/m/04rlf,/m/05rj2,/m/09x0r;"Music;Shuffling cards;Speech";False
-6x2PtSRfJU;30000;40000;/m/01yrx,/m/068hy,/m/07qrkrw,/m/09x0r;"Cat;Domestic animals, pets;Meow;Speech";False
-70MzkgSsHQ;30000;40000;/m/04rlf,/m/04rzd;"Music;Mandolin";False
-70wVF5u-gg;30000;40000;/m/07pn_8q;Chopping (food);False
-75IwDlkzDQ;30000;40000;/m/01h82_,/m/02mk9;"Engine knocking;Engine";False
-76P3VHPuus;10000;20000;/m/01jg1z;Heart murmur;False
-7J4109yM7w;30000;40000;/m/02mk9,/m/07yv9,/t/dd00130;"Engine;Vehicle;Engine starting";False
-7QVE8o9uk4;30000;40000;/m/01yg9g,/m/04rlf,/m/07yv9;"Lawn mower;Music;Vehicle";False
-7WpTk5AHfk;30000;40000;/m/04rlf,/m/07pws3f,/m/09x0r;"Music;Bang;Speech";False
-7aibH1LKwI;90000;100000;/t/dd00121;Boing;False
-7wUQP6G5EQ;30000;40000;/m/02cjck,/m/02w4v,/m/04rlf;"Theme music;Folk music;Music";False
-7ye24UFRng;0;10000;/m/032n05,/m/04rlf;"Whale vocalization;Music";False
-7z662AsuTE;380000;390000;/m/0mbct;Gong;False
-82vJ9bcar4;40000;50000;/m/0642b4;Cupboard open or close;False
-8CrCItCO24;30000;40000;/m/07q7njn;Chink, clink;False
-8Ezw9946g8;100000;110000;/m/0fqfqc;Drawer open or close;False
-8H4GKg-mYQ;30000;40000;/m/04rlf,/m/07gxw;"Music;Techno";False
-8S_tLKfeJg;200000;210000;/m/04fgwm,/m/09x0r,/t/dd00125;"Electric toothbrush;Speech;Inside, small room";False
-8_HpHg6nCw;30000;40000;/m/07ptzwd,/m/0838f;"Pump (liquid);Water";False
-8fQePz4FcE;30000;40000;/m/04rlf,/m/07xzm,/t/dd00126;"Music;Ukulele;Inside, large room or hall";False
-8n2NqDFRko;30000;40000;/m/02rhddq,/m/07r04,/m/07yv9,/m/09x0r;"Reversing beeps;Truck;Vehicle;Speech";False
-8wQV7VJnmM;30000;40000;/m/04rlf,/m/04wptg,/t/dd00031;"Music;Wedding music;Happy music";False
-92cYmTgIjM;190000;200000;/m/02fxyj;Humming;False
-99daJhXYJY;30000;40000;/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092;"Boat, Water vehicle;Motorboat, speedboat;Wind;Wind noise (microphone)";False
-9ME9qMgkeY;270000;280000;/m/08j51y,/m/09ct_;"Dental drill, dentist's drill;Helicopter";False
-9Nl3LZBCOo;200000;210000;/m/01s0vc,/m/09x0r;"Zipper (clothing);Speech";False
-9c1c8G_WO8;24000;34000;/m/07c52,/m/09x0r;"Television;Speech";False
-9ek6eO0RtI;260000;270000;/m/03wwcy;Doorbell;False
-9wxcZf43a4;530000;540000;/m/0cj0r;Pink noise;False
-A0MTi2NMGI;30000;40000;/t/dd00134;Car passing by;False
-AIrHVeCgtM;30000;40000;/m/02rhddq,/m/07r04,/m/07yv9,/m/09x0r;"Reversing beeps;Truck;Vehicle;Speech";False
-ASYwidRD7M;30000;40000;/m/01d3sd;Snoring;False
-AgbNy9f2sg;80000;90000;/m/019jd,/m/06q74;"Boat, Water vehicle;Ship";False
-Ar7D-GARhI;30000;40000;/m/07bgp,/m/07q0h5t,/m/09x0r;"Sheep;Bleat;Speech";False
-AswFDuOptQ;0;10000;/m/04k94,/m/04rlf,/m/09x0r;"Liquid;Music;Speech";False
-AvC89aikTw;180000;190000;/m/0242l;Coin (dropping);False
-B3_mFE3pog;30000;40000;/m/07qfgpx;Jingle, tinkle;False
-BIMKnb3tlo;410000;420000;/m/01p970,/m/026t6,/m/0l14md;"Tabla;Drum;Percussion";False
-BcwR0CSZ4w;150000;160000;/m/07mzm6,/m/07ppn3j,/m/0ytgt;"Wheeze;Sniff;Child speech, kid speaking";False
-BqpAyCLh7U;450000;460000;/m/01m2v,/m/04rlf,/m/09x0r;"Computer keyboard;Music;Speech";False
-BwM5Va6XFg;70000;80000;/m/023pjk,/m/04brg2;"Cutlery, silverware;Dishes, pots, and pans";False
-BxQ9nkrId4;30000;40000;/m/07qv_x_;Shuffle;False
-By_0iIghuE;30000;40000;/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk;"Cat;Domestic animals, pets;Caterwaul;Animal";False
-C5dEU4zpJg;30000;40000;/m/025_jnm,/m/04rlf;"Finger snapping;Music";False
-CHMeZVAe2s;30000;40000;/m/01jg1z;Heart murmur;False
-CIxoobEubQ;250000;260000;/m/02p01q,/m/07pdjhy,/m/083vt;"Filing (rasp);Rub;Wood";False
-CUp_Tmg2Y0;30000;40000;/m/01qbl,/m/026t6,/m/02hnl,/m/03qtq,/m/03t3fj,/m/0bm02,/m/0l14md;"Cymbal;Drum;Drum kit;Hi-hat;Rimshot;Bass drum;Percussion";False
-CgdUiJaNdU;170000;180000;/m/07sq110,/m/09x0r;"Belly laugh;Speech";False
-CniGkDLq-Y;30000;40000;/m/04rlf,/t/dd00004;"Music;Female singing";False
-DBcp6YGi6k;30000;40000;/t/dd00018;Oink;False
-DLL8LaKq-c;19000;29000;/m/07pws3f,/m/09x0r;"Bang;Speech";False
-DNkAalo7og;30000;40000;/m/02mk9,/m/07pb8fc,/t/dd00066;"Engine;Idling;Medium engine (mid frequency)";False
-DWRAxaH_RY;300000;310000;/m/04rlf,/m/09x0r,/m/0l156b;"Music;Speech;Steelpan";False
-DYZX74qgFQ;30000;40000;/m/04rlf,/t/dd00032;"Music;Funny music";False
-DZMYxyB6L8;40000;50000;/m/05lls;Opera;False
-D_ljLTbCK0;220000;230000;/m/04rlf,/m/09ct_;"Music;Helicopter";False
-DcMk015qSA;290000;300000;/m/07qh7jl;Creak;False
-DeAdhYKbGE;290000;300000;/m/0192l,/m/085jw;"Bagpipes;Wind instrument, woodwind instrument";False
-Dj2PfPmynQ;30000;40000;/m/04rlf,/m/0l14jd,/t/dd00003,/t/dd00004;"Music;Choir;Male singing;Female singing";False
